CustomerID,Lookalikes
C0031,"[('C0199', 0.9999282149756108), ('C0192', 0.9994378155012824), ('C0002', 0.9982253638757028)]"
C0032,"[('C0083', 0.9999719955292411), ('C0077', 0.9989829595861803), ('C0009', 0.9979902268753804)]"
C0033,"[('C0097', 0.9999916620372169), ('C0060', 0.9992037757849335), ('C0151', 0.9966147812879855)]"
C0034,"[('C0091', 0.9991845630363662), ('C0127', 0.9941207767315824), ('C0047', 0.9934012554858592)]"
C0035,"[('C0146', 0.9997149745305441), ('C0027', 0.9993951069981939), ('C0132', 0.9991392581103645)]"
C0036,"[('C0132', 0.9996169764680579), ('C0015', 0.9991668338653222), ('C0150', 0.9988851554759975)]"
C0037,"[('C0149', 0.9999939917410766), ('C0187', 0.9999772764099896), ('C0064', 0.9999692333507723)]"
C0038,"[('C0134', 0.9999998553548818), ('C0189', 0.9999987701294941), ('C0086', 0.9999980731269507)]"
C0039,"[('C0122', 0.9998983206045977), ('C0068', 0.9996386708255108), ('C0165', 0.9993120096997841)]"
C0040,"[('C0066', 0.9991886977587869), ('C0158', 0.9949124460592518), ('C0117', 0.993341787302558)]"
C0041,"[('C0143', 0.9996648950693605), ('C0045', 0.9994952127575547), ('C0013', 0.9993029425579492)]"
C0042,"[('C0125', 0.9993563387101109), ('C0129', 0.9968758698436427), ('C0110', 0.996870031499815)]"
C0043,"[('C0192', 0.9980767953704022), ('C0031', 0.9971981025471484), ('C0199', 0.9966121402650148)]"
C0044,"[('C0115', 0.9988088686105093), ('C0185', 0.9963476805427499), ('C0050', 0.9960780899823587)]"
C0045,"[('C0013', 0.9999845161035829), ('C0143', 0.9999826775291567), ('C0041', 0.9994952127575547)]"
C0046,"[('C0051', 0.9997021856420545), ('C0028', 0.9996395299956445), ('C0099', 0.9991998007346599)]"
C0047,"[('C0127', 0.9978826576769174), ('C0049', 0.9975294885387667), ('C0091', 0.9964401526372227)]"
C0048,"[('C0183', 0.9999999969888774), ('C0016', 0.999997149167357), ('C0064', 0.9999040062878397)]"
C0049,"[('C0047', 0.9975294885387667), ('C0091', 0.9919670277889616), ('C0127', 0.9910677249018628)]"
C0050,"[('C0074', 0.9999651622846385), ('C0115', 0.9992088388179703), ('C0089', 0.99641190386842)]"
C0051,"[('C0046', 0.9997021856420545), ('C0059', 0.9995012221225813), ('C0188', 0.9993607620287469)]"
C0052,"[('C0177', 0.9996491165634431), ('C0062', 0.9988160340541548), ('C0186', 0.996511777236322)]"
C0053,"[('C0023', 0.9990945405641695), ('C0082', 0.9985766312506676), ('C0163', 0.9961352469061935)]"
C0054,"[('C0041', 0.9988222262243004), ('C0143', 0.9976354741986908), ('C0087', 0.9975957469307972)]"
C0055,"[('C0069', 0.999999388531516), ('C0174', 0.9999982945050452), ('C0160', 0.999992067999421)]"
C0056,"[('C0164', 0.9998438052188146), ('C0072', 0.9996265233708621), ('C0191', 0.9996226295414831)]"
C0057,"[('C0169', 0.9999972903407994), ('C0126', 0.9997697006336741), ('C0051', 0.9992552838318366)]"
C0058,"[('C0198', 0.9990274984340395), ('C0062', 0.996030055542778), ('C0014', 0.9954272208198851)]"
C0059,"[('C0188', 0.999975765048593), ('C0051', 0.9995012221225813), ('C0046', 0.998834295065525)]"
C0060,"[('C0033', 0.9992037757849335), ('C0097', 0.9990325185001343), ('C0151', 0.9925411551431719)]"
C0061,"[('C0123', 0.9979705543679055), ('C0159', 0.9966298684577442), ('C0063', 0.9959559723799676)]"
C0062,"[('C0198', 0.9988669174877409), ('C0052', 0.9988160340541548), ('C0177', 0.9977355948874188)]"
C0063,"[('C0073', 0.9999771763812916), ('C0159', 0.9999687883196628), ('C0123', 0.9996523219378058)]"
C0064,"[('C0037', 0.9999692333507723), ('C0149', 0.9999360333223207), ('C0016', 0.9999342403768492)]"
C0065,"[('C0165', 0.9998338114323749), ('C0068', 0.999780837440254), ('C0122', 0.9996091969573635)]"
C0066,"[('C0040', 0.9991886977587869), ('C0158', 0.9963385927972715), ('C0185', 0.9929002583769978)]"
C0067,"[('C0004', 0.9999912751252354), ('C0021', 0.999745350187335), ('C0075', 0.9991317235979381)]"
C0068,"[('C0122', 0.9999129903135868), ('C0065', 0.999780837440254), ('C0039', 0.9996386708255108)]"
C0069,"[('C0174', 0.9999997254432507), ('C0055', 0.999999388531516), ('C0160', 0.9999958611459404)]"
C0070,"[('C0135', 0.9998571052930889), ('C0085', 0.9963879319490707), ('C0007', 0.9948993057146707)]"
C0071,"[('C0128', 0.9983596886140907), ('C0142', 0.9977951908259824), ('C0014', 0.9936419778584419)]"
C0072,"[('C0191', 0.999999989901502), ('C0190', 0.999999010438043), ('C0106', 0.9999890574861882)]"
C0073,"[('C0063', 0.9999771763812916), ('C0159', 0.9998946362361658), ('C0005', 0.9994945201465777)]"
C0074,"[('C0050', 0.9999651622846385), ('C0115', 0.9988420595996633), ('C0089', 0.9961875043654351)]"
C0075,"[('C0004', 0.9992876794675158), ('C0067', 0.9991317235979381), ('C0195', 0.9989601465521084)]"
C0076,"[('C0103', 0.9999978332581002), ('C0088', 0.9999971554801464), ('C0030', 0.9999927015659021)]"
C0077,"[('C0009', 0.9998324515798348), ('C0032', 0.9989829595861803), ('C0083', 0.9986175414751529)]"
C0078,"[('C0080', 0.9998476514818756), ('C0110', 0.9967360946827865), ('C0120', 0.9956900405482082)]"
C0079,"[('C0006', 0.999983135903495), ('C0117', 0.9980640717407279), ('C0196', 0.9931273878065345)]"
C0080,"[('C0078', 0.9998476514818756), ('C0140', 0.99676542766075), ('C0120', 0.9952790670729481)]"
C0081,"[('C0024', 0.9972478791463545), ('C0184', 0.9948341128427561), ('C0118', 0.9919204456119926)]"
C0082,"[('C0053', 0.9985766312506676), ('C0023', 0.9984157617562831), ('C0100', 0.9958268776526876)]"
C0083,"[('C0032', 0.9999719955292411), ('C0077', 0.9986175414751529), ('C0010', 0.9975059818616009)]"
C0084,"[('C0008', 0.9957164129456433), ('C0090', 0.9955926561739533), ('C0194', 0.9891973779586017)]"
C0085,"[('C0007', 0.9998000368261725), ('C0140', 0.9967886488910158), ('C0070', 0.9963879319490707)]"
C0086,"[('C0038', 0.9999980731269507), ('C0134', 0.9999968726175521), ('C0189', 0.9999937644274831)]"
C0087,"[('C0105', 0.9985410481550934), ('C0100', 0.9977079698778846), ('C0054', 0.9975957469307972)]"
C0088,"[('C0111', 0.9999989041375053), ('C0157', 0.999997539541422), ('C0076', 0.9999971554801464)]"
C0089,"[('C0115', 0.9965273611908676), ('C0050', 0.99641190386842), ('C0074', 0.9961875043654351)]"
C0090,"[('C0084', 0.9955926561739533), ('C0124', 0.9952586659071344), ('C0109', 0.9913594847092815)]"
C0091,"[('C0034', 0.9991845630363662), ('C0127', 0.9976819043282414), ('C0047', 0.9964401526372227)]"
C0092,"[('C0193', 0.999916610493717), ('C0120', 0.9991097444447253), ('C0125', 0.9965948946263913)]"
C0093,"[('C0113', 0.9994802685753957), ('C0162', 0.9993363325835013), ('C0017', 0.9983095806756537)]"
C0094,"[('C0121', 0.9996532423491086), ('C0025', 0.9966218446374849), ('C0010', 0.9931499316740602)]"
C0095,"[('C0112', 0.9998093657214363), ('C0144', 0.9997239610872349), ('C0131', 0.9993721643708767)]"
C0096,"[('C0114', 0.9999996464734807), ('C0138', 0.9999989707905506), ('C0148', 0.9999978944815228)]"
C0097,"[('C0033', 0.9999916620372169), ('C0060', 0.9990325185001343), ('C0151', 0.996942197241792)]"
C0098,"[('C0161', 0.9999841096979778), ('C0147', 0.9987795626149857), ('C0184', 0.9980153891340456)]"
C0099,"[('C0028', 0.9997536523692514), ('C0104', 0.999520938032689), ('C0046', 0.9991998007346599)]"
C0100,"[('C0023', 0.998689857959116), ('C0087', 0.9977079698778846), ('C0105', 0.9965730218006008)]"
C0101,"[('C0108', 0.9999946214921758), ('C0156', 0.999971137124362), ('C0021', 0.998711467211268)]"
C0102,"[('C0012', 0.9997366446793621), ('C0136', 0.999430199291271), ('C0068', 0.998474855886059)]"
C0103,"[('C0030', 0.9999984881405455), ('C0076', 0.9999978332581002), ('C0189', 0.9999918994901252)]"
C0104,"[('C0099', 0.999520938032689), ('C0155', 0.9992150194388162), ('C0028', 0.998587764521261)]"
C0105,"[('C0153', 0.9994868999431488), ('C0087', 0.9985410481550934), ('C0041', 0.9973805382815218)]"
C0106,"[('C0160', 0.9999996590240078), ('C0174', 0.9999956136261066), ('C0190', 0.9999946491904961)]"
C0107,"[('C0011', 0.9993170553243578), ('C0183', 0.9984641207129663), ('C0048', 0.99845981832549)]"
C0108,"[('C0101', 0.9999946214921758), ('C0156', 0.9999439124554509), ('C0021', 0.9986024434127779)]"
C0109,"[('C0124', 0.9965340239152538), ('C0017', 0.9958617803768067), ('C0162', 0.9940321427244964)]"
C0110,"[('C0020', 0.9995002965632799), ('C0042', 0.996870031499815), ('C0078', 0.9967360946827865)]"
C0111,"[('C0157', 0.9999997277763121), ('C0088', 0.9999989041375053), ('C0076', 0.9999925285039593)]"
C0112,"[('C0131', 0.9998440413821639), ('C0095', 0.9998093657214363), ('C0197', 0.9994046512237892)]"
C0113,"[('C0162', 0.9999891731114634), ('C0017', 0.9996188500909337), ('C0093', 0.9994802685753957)]"
C0114,"[('C0138', 0.9999998236682788), ('C0096', 0.9999996464734807), ('C0148', 0.9999992664767743)]"
C0115,"[('C0050', 0.9992088388179703), ('C0074', 0.9988420595996633), ('C0044', 0.9988088686105093)]"
C0116,"[('C0172', 0.9891687750858581), ('C0034', 0.9890633176773612), ('C0019', 0.9887306161843394)]"
C0117,"[('C0006', 0.9984084372142995), ('C0079', 0.9980640717407279), ('C0040', 0.993341787302558)]"
C0118,"[('C0184', 0.997559782560864), ('C0181', 0.9961270378651385), ('C0161', 0.9937872621126702)]"
C0119,"[('C0157', 0.9999942012740395), ('C0111', 0.9999914162480984), ('C0088', 0.9999841863698246)]"
C0120,"[('C0193', 0.999210922619016), ('C0092', 0.9991097444447253), ('C0125', 0.9968856277796256)]"
C0121,"[('C0094', 0.9996532423491086), ('C0025', 0.9941136489666931), ('C0137', 0.9930340227393409)]"
C0122,"[('C0068', 0.9999129903135868), ('C0039', 0.9998983206045977), ('C0165', 0.9996112832949452)]"
C0123,"[('C0159', 0.9998293201369145), ('C0063', 0.9996523219378058), ('C0073', 0.9994566237028834)]"
C0124,"[('C0017', 0.9974083545407957), ('C0109', 0.9965340239152538), ('C0162', 0.9955826187548248)]"
C0125,"[('C0042', 0.9993563387101109), ('C0193', 0.99757659853095), ('C0120', 0.9968856277796256)]"
C0126,"[('C0057', 0.9997697006336741), ('C0169', 0.9997170332120513), ('C0051', 0.9985453905394815)]"
C0127,"[('C0047', 0.9978826576769174), ('C0091', 0.9976819043282414), ('C0181', 0.9952101331697226)]"
C0128,"[('C0014', 0.998457997306867), ('C0071', 0.9983596886140907), ('C0151', 0.9949081347840981)]"
C0129,"[('C0176', 0.9999442693513269), ('C0167', 0.9987450880766692), ('C0042', 0.9968758698436427)]"
C0130,"[('C0131', 0.999508886079607), ('C0197', 0.9994927725529571), ('C0150', 0.9993773886466665)]"
C0131,"[('C0197', 0.9998580961976734), ('C0112', 0.9998440413821639), ('C0130', 0.999508886079607)]"
C0132,"[('C0015', 0.9996973202070656), ('C0036', 0.9996169764680579), ('C0035', 0.9991392581103645)]"
C0133,"[('C0167', 0.9989896094947417), ('C0176', 0.9965983760332395), ('C0129', 0.9956962241254438)]"
C0134,"[('C0038', 0.9999998553548818), ('C0189', 0.9999994690357202), ('C0086', 0.9999968726175521)]"
C0135,"[('C0070', 0.9998571052930889), ('C0085', 0.9950928571362544), ('C0007', 0.9932682015390276)]"
C0136,"[('C0012', 0.9997460356266585), ('C0102', 0.999430199291271), ('C0068', 0.9977328386019442)]"
C0137,"[('C0001', 0.9993600788417097), ('C0056', 0.9962579303116048), ('C0164', 0.9945747695780418)]"
C0138,"[('C0114', 0.9999998236682788), ('C0148', 0.9999998094319237), ('C0096', 0.9999989707905506)]"
C0139,"[('C0024', 0.9981410747737073), ('C0179', 0.9942009425645164), ('C0194', 0.9910761012074688)]"
C0140,"[('C0007', 0.9978130376911358), ('C0085', 0.9967886488910158), ('C0080', 0.99676542766075)]"
C0141,"[('C0188', 0.9974740849610798), ('C0059', 0.9971169396971543), ('C0013', 0.9962919992859234)]"
C0142,"[('C0071', 0.9977951908259824), ('C0192', 0.9947228127411666), ('C0043', 0.9937816431844996)]"
C0143,"[('C0045', 0.9999826775291567), ('C0013', 0.9999344393626719), ('C0041', 0.9996648950693605)]"
C0144,"[('C0178', 0.9997872270503523), ('C0095', 0.9997239610872349), ('C0003', 0.9992167799811654)]"
C0145,"[('C0173', 0.9999214912224723), ('C0165', 0.9994949541076684), ('C0065', 0.9987677832714842)]"
C0146,"[('C0027', 0.9999405146299007), ('C0035', 0.9997149745305441), ('C0186', 0.9990597311322034)]"
C0147,"[('C0098', 0.9987795626149857), ('C0161', 0.9987476415090928), ('C0184', 0.9942932143928305)]"
C0148,"[('C0138', 0.9999998094319237), ('C0114', 0.9999992664767743), ('C0171', 0.9999987017112897)]"
C0149,"[('C0187', 0.9999946372628479), ('C0037', 0.9999939917410766), ('C0200', 0.9999877064748205)]"
C0150,"[('C0130', 0.9993773886466665), ('C0197', 0.9989939409455912), ('C0036', 0.9988851554759975)]"
C0151,"[('C0097', 0.996942197241792), ('C0033', 0.9966147812879855), ('C0014', 0.9949361730573426)]"
C0152,"[('C0001', 0.9956575062125336), ('C0137', 0.991690539357648), ('C0025', 0.9904198748655869)]"
C0153,"[('C0105', 0.9994868999431488), ('C0041', 0.9988215703364066), ('C0022', 0.9986612116253636)]"
C0154,"[('C0194', 0.9991309018867885), ('C0179', 0.9970371590882195), ('C0008', 0.9889044267318922)]"
C0155,"[('C0104', 0.9992150194388162), ('C0012', 0.9978379714416702), ('C0099', 0.997672154346156)]"
C0156,"[('C0101', 0.999971137124362), ('C0108', 0.9999439124554509), ('C0021', 0.9990382676433299)]"
C0157,"[('C0111', 0.9999997277763121), ('C0088', 0.999997539541422), ('C0119', 0.9999942012740395)]"
C0158,"[('C0066', 0.9963385927972715), ('C0040', 0.9949124460592518), ('C0026', 0.9943051036858339)]"
C0159,"[('C0063', 0.9999687883196628), ('C0073', 0.9998946362361658), ('C0123', 0.9998293201369145)]"
C0160,"[('C0106', 0.9999996590240078), ('C0174', 0.9999977185826433), ('C0069', 0.9999958611459404)]"
C0161,"[('C0098', 0.9999841096979778), ('C0147', 0.9987476415090928), ('C0184', 0.9978058293603329)]"
C0162,"[('C0113', 0.9999891731114634), ('C0017', 0.9997364930257547), ('C0093', 0.9993363325835013)]"
C0163,"[('C0053', 0.9961352469061935), ('C0082', 0.9931828699467604), ('C0023', 0.991496425153008)]"
C0164,"[('C0072', 0.9999533761668903), ('C0191', 0.9999519937427924), ('C0190', 0.999938801943026)]"
C0165,"[('C0065', 0.9998338114323749), ('C0173', 0.999801825741414), ('C0122', 0.9996112832949452)]"
C0166,"[('C0062', 0.9972193295827255), ('C0052', 0.9959079382192852), ('C0198', 0.9954921799292697)]"
C0167,"[('C0176', 0.9992181663384455), ('C0133', 0.9989896094947417), ('C0129', 0.9987450880766692)]"
C0168,"[('C0196', 0.9999727147194726), ('C0079', 0.9922357110233866), ('C0006', 0.9914966806967629)]"
C0169,"[('C0057', 0.9999972903407994), ('C0126', 0.9997170332120513), ('C0051', 0.9993046194670759)]"
C0170,"[('C0182', 0.9999999281195272), ('C0018', 0.9999991131751311), ('C0171', 0.9999988871721975)]"
C0171,"[('C0182', 0.9999993809437862), ('C0170', 0.9999988871721975), ('C0148', 0.9999987017112897)]"
C0172,"[('C0019', 0.9999956320520736), ('C0116', 0.9891687750858581), ('C0034', 0.9567013577087424)]"
C0173,"[('C0145', 0.9999214912224723), ('C0165', 0.999801825741414), ('C0065', 0.9992742969708708)]"
C0174,"[('C0069', 0.9999997254432507), ('C0055', 0.9999982945050452), ('C0160', 0.9999977185826433)]"
C0175,"[('C0195', 0.9995807812349611), ('C0075', 0.9987515883674823), ('C0004', 0.9961599939876866)]"
C0176,"[('C0129', 0.9999442693513269), ('C0167', 0.9992181663384455), ('C0133', 0.9965983760332395)]"
C0177,"[('C0052', 0.9996491165634431), ('C0186', 0.9982071942703482), ('C0062', 0.9977355948874188)]"
C0178,"[('C0144', 0.9997872270503523), ('C0003', 0.999565130088116), ('C0095', 0.9993201311754144)]"
C0179,"[('C0154', 0.9970371590882195), ('C0194', 0.99677489172138), ('C0139', 0.9942009425645164)]"
C0181,"[('C0118', 0.9961270378651385), ('C0127', 0.9952101331697226), ('C0047', 0.9918521352186245)]"
C0182,"[('C0170', 0.9999999281195272), ('C0171', 0.9999993809437862), ('C0018', 0.999998536337852)]"
C0183,"[('C0048', 0.9999999969888774), ('C0016', 0.9999969608543906), ('C0064', 0.9999029280375819)]"
C0184,"[('C0098', 0.9980153891340456), ('C0161', 0.9978058293603329), ('C0118', 0.997559782560864)]"
C0185,"[('C0026', 0.996710405743399), ('C0044', 0.9963476805427499), ('C0066', 0.9929002583769978)]"
C0186,"[('C0027', 0.9993231526912905), ('C0146', 0.9990597311322034), ('C0177', 0.9982071942703482)]"
C0187,"[('C0200', 0.9999985828136881), ('C0018', 0.9999981617989261), ('C0170', 0.9999947214211414)]"
C0188,"[('C0059', 0.999975765048593), ('C0051', 0.9993607620287469), ('C0046', 0.9985242885266883)]"
C0189,"[('C0134', 0.9999994690357202), ('C0038', 0.9999987701294941), ('C0030', 0.9999973867210228)]"
C0190,"[('C0191', 0.9999992002703884), ('C0072', 0.999999010438043), ('C0106', 0.9999946491904961)]"
C0191,"[('C0072', 0.999999989901502), ('C0190', 0.9999992002703884), ('C0106', 0.9999897122256746)]"
C0192,"[('C0031', 0.9994378155012824), ('C0199', 0.9989643563278021), ('C0043', 0.9980767953704022)]"
C0193,"[('C0092', 0.999916610493717), ('C0120', 0.999210922619016), ('C0125', 0.99757659853095)]"
C0194,"[('C0154', 0.9991309018867885), ('C0179', 0.99677489172138), ('C0008', 0.9934494400280589)]"
C0195,"[('C0175', 0.9995807812349611), ('C0075', 0.9989601465521084), ('C0004', 0.9967700502593403)]"
C0196,"[('C0168', 0.9999727147194726), ('C0079', 0.9931273878065345), ('C0006', 0.9924309304016623)]"
C0197,"[('C0131', 0.9998580961976734), ('C0130', 0.9994927725529571), ('C0112', 0.9994046512237892)]"
C0198,"[('C0058', 0.9990274984340395), ('C0062', 0.9988669174877409), ('C0166', 0.9954921799292697)]"
C0199,"[('C0031', 0.9999282149756108), ('C0192', 0.9989643563278021), ('C0002', 0.9988672178177445)]"
C0200,"[('C0018', 0.9999999726605474), ('C0170', 0.9999987744176858), ('C0187', 0.9999985828136881)]"
